Article URL,total_freq
http://newsteller.org,2
https://www.washingtonpost.com/news/worldviews/wp/2016/08/23/we-run-towards-the-screams-meet-the-aleppo-rescue-team-that-saved-5-year-old-omran/,1
http://feeds.feedburner.com/~r/ap/hupq/~3/uZu8R2p2fvQ/id-a789846e297346c58e140c68ec764bf5,1
http://www.mediasuarakyat.ga/2017/08/innalillah-tujuh-relawan-white-helmets.html,1
http://p.feedblitz.com/r3.asp?l=138728891&f=26412&u=39045968&c=5661631,234
https://www.rt.com/news/388960-white-helmets-execution-footage/,9
http://theduran.com/cnn-busted-using-actors-to-stage-muslim-outrage-in-london-after-terror-attacks/,1
https://extrasensoryprecepts.blogspot.com/2017/06/white-helmets-member-caught-on-camera.html,6
https://sputniknews.com/amp/middleeast/201707191055698612-white-helmets-syria-nato-intervention-syria/,75
http://www.thetruthseeker.co.uk/?p=153739,17
http://therealnews.com/t2/index.php?option=com_content&task=view&id=31&Itemid=74&jumival=19889#.WabcuUngQyc.twitter,235
http://www.independent.co.uk/news/world/middle-east/syria-white-helmets-civil-defence-service-donation-uk-search-and-rescue-dfid-a7901091.html,84
http://www.thefringenews.com/father-of-famous-aleppo-boy-just-exposed-how-the-us-white-helmets-lied-to-the-world/,1
https://www.veteranstoday.com/2017/05/02/white-helmets-fakery-rakes-in-the-cash/,2
http://www.thedailysheeple.com/new-video-destroys-little-omran-white-helmets-story-proves-wh-terrorists-used-boy-as-propaganda_062017,7
https://www.newsdeeply.com/womenandgirls/articles/2017/08/24/the-syrian-women-saving-lives-as-volunteers-for-the-white-helmets,93
https://www.sott.net/article/318008-The-White-Helmets-A-rescue-and-assist-organization-for-terrorists,10
https://act.thesyriacampaign.org/sign/peoples-million,109
https://www.ems1.com/international/articles/314646048-7-White-Helmets-paramedics-killed-in-Syrias-Idlib/,5
http://seosem.es,1
http://www.bbc.co.uk/news/world-us-canada-40413563,3
http://21stcenturywire.com/2016/09/23/exclusive-the-real-syria-civil-defence-expose-natos-white-helmets-as-terrorist-linked-imposters/,29
http://www.aljazeera.com/news/2017/08/white-helmets-medics-killed-syria-idlib-170812211919453.html,184
https://www.yahoo.com/news/latest-rebels-fighting-damascus-suburbs-kill-20-133821600.html,31
http://gridirongarb.blogspot.com/2017/06/umass-redmen-1953-54.html,5
http://www.washingtonsblog.com/2017/06/new-video-destroys-little-omran-white-helmets-propaganda-proves-wh-terrorists-used-boy-propaganda.html,6
http://21stcenturywire.com/2017/08/01/james-le-mesurier-the-british-mercenary-who-founded-the-white-helmets/,251
https://sputniknews.com/middleeast/201707141055541366-white-helmets-defamation-campaign/,28
http://www.wrongkindofgreen.org/2015/04/13/seven-steps-of-highly-effective-manipulators-white-helmets-avaaz-nicholas-kristof-syria-no-fly-zone/,5
https://www.rt.com/news/393809-white-helmets-mutilated-bodies/,1382
https://steemit.com/news/@v4vapid/sy-hersh-explodes-syrian-chemical-weapons-attack-narrative-part-1,1
https://www.buzzfeed.com/jamesball/uk-search-and-rescue-teams-are-donating-equipment-to-syrias,42
http://www.dailystar.com.lb/News/Middle-East/2017/Aug-14/415922-gunmen-storm-white-helmets-office-in-idlib-killing-seven.ashx#.WZD2h8x0TA8.twitter,1
http://www.independent.co.uk/news/world/middle-east/white-helmets-seven-paramedics-shot-dead-idlib-province-sarmin-rebel-oscar-netflix-documentary-syria-a7890191.html,149
http://abcnews.go.com/International/wireStory/white-helmets-members-shot-dead-northwestern-syria-49173635,42
https://www.mintpressnews.com/john-pilger-the-white-helmets-are-a-complete-propaganda-construct/228238/,179
http://www.mintpressnews.com/investigation-white-helmets-committing-acts-terror-across-syria/231597/#.WbB0VKdK228.twitter,639
http://iloapp.nancysix.org/blog/blog?Home&post=1701,1
https://open.spotify.com/artist/2AkkjjtnOgbXAjWvUR2AyH,3
https://en.wikipedia.org/w/index.php?title=Talk%3AWhite_Helmets_%28Syrian_Civil_War%29&diff=784131522&oldid=784130976,
http://blauerbote.com/2017/02/20/white-helmets-oder-ein-oscar-fuer-al-qaida/,2
https://www.liveleak.com/view?i=3f1_1501611368,1
https://www.alligatorarmy.com/2017/8/28/16216672/florida-gators-uniforms-michigan-blue-color-rush-nike-white-helmets,17
https://www.kiblat.net/2017/05/31/tak-banyak-diketahui-ini-satu-aktivitas-relawan-white-helmets-di-suriah/,7
https://friendsofsyria.wordpress.com/2017/07/27/white-helmets-continue-to-make-fake-films/,3
http://www.wrongkindofgreen.org/2017/03/03/forget-oscar-give-the-white-helmets-the-leni-riefenstahl-award-for-best-war-propaganda-film/,4
http://www.newslocker.com/en-us/profession/security_news/7-white-helmets-members-shot-dead-in-northwestern-syria/,1
https://worldtruth.tv/,2
http://www.w3livenews.com/2017/09/08/Furious-father-of-Syrian-boy-Omran-Daqneesh-says-picture-should-never-have/7187459,1
http://www.informazione.it/a/13897345-7761-472D-B90E-453000880F26/Siria-la-strage-dei-White-Helmets-a-Idlib,1
http://www.nationalist.ie/news/home/268563/white-helmets-tipperary-peace-prize-giving-ceremony-to-go-ahead-despite-protests.html#.Wa13JvWaAUQ.twitter?refresh_ce,49
http://bouchardgraccer.blogspot.com/2017/05/george-and-amal-clooney-attend-netflix.html,1
http://us4.campaign-archive2.com/?u=8e2046b867880f405f4203dc4&id=ac03d23589,4
http://www.cnn.com/2017/08/12/middleeast/white-helmets-syria-killings/index.html,713
http://www.netflix.com/title/80101827?source=android,16
http://www.ronpaulinstitute.org/archives/featured-articles/2017/july/04/the-fraud-of-the-white-helmets/#.WVu5rm1PyDM.twitter,92
"http://occasion-to-be.com/forum/index.php/topic,179419.msg192229.html#msg192229",1
https://www.theguardian.com/world/2017/aug/14/syria-white-helmets-protest-against-killings-of-rescue-workers,242
http://my.earthlink.com/article/int?guid=20170813/163d6bf5-e47d-47bc-9b49-87c138634cc2,1
https://en.wikipedia.org/wiki/Talk:White_Helmets_(Syrian_Civil_War),
https://sputniknews.com/middleeast/201706301055119172-opcw-sarin-russia/,3
http://www.1clickdaily.com/1131481,1
http://www.nationalist.ie/poll/what-s-on/233690/who-should-win-the-tipperary-peace-prize-2017.html,2
http://www.wrongkindofgreen.org/2017/09/06/investigation-white-helmets-committing-acts-of-terror-across-syria/,7
http://clasos.com.mx/login/acceso/276871,1
https://www.rt.com/news/381542-white-helmets-al-qaeda-members/,2
http://www.fundmycause.net/Pesamob/,4
https://talesfromtheloublog.wordpress.com/2017/06/08/father-of-famous-aleppo-boy-just-exposed-how-the-us-and-white-helmets-lied-to-the-world/,3
https://lzomedia.com/,1
https://uprootedpalestinians.wordpress.com/2017/06/22/oscar-winning-nobel-prize-nominated-white-helmets-graduate-to-beheadings/,8
https://www.sharjah24.ae/en/arabic/243962-,1
http://www.blacklistednews.com/John_Pilger%3A_The_White_Helmets_Are_A_%E2%80%9CComplete_Propaganda_Construct%E2%80%9D/58726/0/38/38/Y/M.html,3
http://www.middleeasteye.net/in-depth/features/we-have-lost-best-men-town-lives-syrias-murdered-aid-workers-1594734868#sthash.cegXuKTq.uxfs,279
http://english.alarabiya.net/en/News/middle-east/2017/08/12/Seven-White-Helmets-medics-killed-in-Syria-s-Idlib.html,1
http://www.cbsnews.com/news/the-white-helmets-fighting-for-life-in-syrias-vicious-civil-war/,38
http://altnews.top/,3
https://urs17982.wordpress.com/2017/07/06/wem-leistet-israel-in-syrien-direkte-militaerhilfe-auch-durch-die-luftwaffe-daraa-kriegsverbrecher/,5
http://www.telegraph.co.uk/news/2017/09/01/old-fashioned-white-helmets-display-team-wound-army-looks-promote/,66
http://aa.com.tr/en/middle-east/syrian-regime-strikes-de-escalation-zone-white-helmet/874181,7
http://russia-insider.com/en/politics/fraud-white-helmets/ri20286,76
